X	Percentil5	Percentil10	Percentil25	Percentil50	Percentil75	Percentil90	Percentil95
0.270	52.82	63.04	74.83	87.24	99.75	110.71	115.48
0.273	52.82	63.03	74.84	87.26	99.73	110.72	115.48
0.275	52.85	63.02	74.84	87.26	99.72	110.73	115.48
0.278	52.86	63.01	74.85	87.26	99.72	110.74	115.48
0.281	52.86	63.00	74.85	87.26	99.72	110.74	115.48
0.284	52.86	62.98	74.86	87.26	99.72	110.75	115.48
0.286	52.86	62.97	74.87	87.33	99.72	110.75	115.48
0.289	52.89	62.96	74.87	87.34	99.72	110.76	115.48
0.292	52.91	62.95	74.88	87.35	99.72	110.76	115.48
0.295	52.94	62.91	74.90	87.36	99.65	110.76	115.48
0.297	52.97	62.84	74.90	87.38	99.65	110.76	115.48
0.300	53.00	62.76	74.90	87.39	99.65	110.76	115.48
0.303	53.03	62.75	74.90	87.39	99.66	110.76	115.48
0.305	53.05	62.75	74.91	87.41	99.66	110.76	115.48
0.308	53.08	62.74	74.92	87.43	99.67	110.76	115.48
0.311	53.11	62.73	74.92	87.44	99.62	110.76	115.48
0.314	53.13	62.72	74.92	87.45	99.61	110.76	115.48
0.316	53.15	62.72	74.90	87.46	99.61	110.76	115.48
0.319	53.15	62.66	74.90	87.48	99.61	110.76	115.48
0.322	53.15	62.65	74.90	87.50	99.61	110.76	115.48
0.325	53.15	62.65	74.90	87.51	99.61	110.76	115.48
0.327	53.15	62.64	74.80	87.51	99.69	110.76	115.48
0.330	53.15	62.64	74.80	87.48	99.69	110.65	115.48
0.333	53.24	62.63	74.77	87.45	99.68	110.61	115.48
0.336	53.25	62.62	74.77	87.42	99.67	110.61	115.48
0.338	53.25	62.61	74.77	87.40	99.66	110.61	115.48
0.341	53.25	62.60	74.80	87.39	99.65	110.61	115.48
0.344	53.25	62.59	74.80	87.39	99.64	110.61	115.48
0.347	53.25	62.58	74.80	87.39	99.64	110.61	115.48
0.349	53.25	62.57	74.77	87.39	99.62	110.61	115.48
0.352	53.25	62.56	74.77	87.39	99.61	110.61	115.48
0.355	53.25	62.65	74.77	87.39	99.61	110.61	115.48
0.358	53.25	62.65	74.77	87.39	99.61	110.61	115.48
0.360	53.25	62.65	74.77	87.39	99.61	110.61	115.48
0.363	53.25	62.65	74.77	87.39	99.61	110.61	115.48
0.366	53.25	62.65	74.77	87.39	99.61	110.61	115.48
0.368	53.25	62.65	74.77	87.39	99.61	110.61	115.48
0.371	53.26	62.65	74.77	87.39	99.61	110.61	115.48
0.374	53.30	62.65	74.77	87.39	99.61	110.61	115.48
0.377	53.34	62.65	74.77	87.39	99.61	110.61	115.48
0.379	53.39	62.65	74.81	87.39	99.61	110.61	115.48
0.382	53.40	62.65	74.87	87.49	99.61	110.61	115.48
0.385	53.41	62.65	74.90	87.64	99.60	110.61	115.49
0.388	53.43	62.65	74.90	87.64	99.60	110.61	115.50
0.390	53.44	62.65	74.90	87.49	99.59	110.65	115.52
0.393	53.45	62.65	74.90	87.50	99.59	110.73	115.54
0.396	53.46	62.65	74.90	87.51	99.58	110.76	115.57
0.399	53.47	62.62	74.90	87.51	99.61	110.76	115.60
0.401	53.47	62.46	74.90	87.52	99.61	110.76	115.65
0.404	53.47	62.46	74.90	87.53	99.61	110.76	115.63
0.407	53.47	62.46	74.91	87.54	99.61	110.76	115.62
0.410	53.47	62.46	74.96	87.55	99.61	110.76	115.67
0.412	53.46	62.46	74.97	87.55	99.72	110.76	115.75
0.415	53.45	62.46	74.90	87.63	99.72	110.76	115.67
0.418	53.44	62.46	74.90	87.64	99.77	110.76	115.60
0.421	53.43	62.46	74.90	87.60	99.73	110.76	115.52
0.423	53.42	62.46	74.90	87.58	99.72	110.76	115.48
0.426	53.41	62.51	74.90	87.59	99.71	110.75	115.48
0.429	53.40	62.59	74.89	87.60	99.69	110.73	115.48
0.432	53.39	62.65	74.84	87.61	99.67	110.71	115.48
0.434	53.38	62.64	74.80	87.62	99.65	110.69	115.48
0.437	53.36	62.62	74.80	87.62	99.70	110.68	115.48
0.440	53.33	62.61	74.79	87.64	99.72	110.67	115.48
0.442	53.25	62.60	74.80	87.64	99.72	110.65	115.48
0.445	53.20	62.59	74.80	87.57	99.72	110.64	115.48
0.448	53.17	62.58	74.84	87.51	99.72	110.59	115.48
0.451	53.15	62.53	74.88	87.54	99.72	110.58	115.48
0.453	53.09	62.53	74.90	87.56	99.72	110.56	115.48
0.456	53.06	62.50	74.90	87.57	99.72	110.55	115.48
0.459	53.00	62.48	74.90	87.60	99.72	110.54	115.48
0.462	52.96	62.48	74.90	87.66	99.72	110.54	115.48
0.464	52.93	62.46	74.90	87.66	99.72	110.54	115.48
0.467	52.91	62.42	74.90	87.65	99.74	110.54	115.49
0.470	52.91	62.36	74.90	87.65	99.78	110.54	115.49
0.473	52.91	62.35	74.90	87.64	99.82	110.54	115.51
0.475	52.90	62.32	74.90	87.64	99.82	110.54	115.57
0.478	52.90	62.31	74.90	87.64	99.82	110.54	115.56
0.481	52.89	62.34	74.90	87.63	99.82	110.54	115.55
0.484	52.88	62.37	74.93	87.66	99.82	110.54	115.53
0.486	52.87	62.39	74.94	87.66	99.82	110.54	115.53
0.489	52.86	62.40	74.96	87.66	99.82	110.54	115.52
0.492	52.83	62.43	74.97	87.66	99.82	110.54	115.52
0.495	52.81	62.45	74.98	87.66	99.82	110.54	115.53
0.497	52.78	62.46	75.01	87.65	99.82	110.54	115.54
0.500	52.75	62.46	75.03	87.59	99.82	110.54	115.55
0.503	52.69	62.46	75.04	87.56	99.82	110.54	115.56
0.505	52.66	62.46	75.05	87.50	99.87	110.54	115.57
0.508	52.63	62.47	75.07	87.52	99.82	110.54	115.58
0.511	52.61	62.51	75.04	87.53	99.82	110.54	115.59
0.514	52.58	62.55	75.00	87.55	99.82	110.54	115.61
0.516	52.55	62.59	74.96	87.56	99.82	110.54	115.61
0.519	52.49	62.65	74.90	87.56	99.82	110.54	115.62
0.522	52.46	62.65	74.91	87.56	99.82	110.54	115.64
0.525	52.43	62.65	74.84	87.55	99.82	110.54	115.65
0.527	52.41	62.65	74.80	87.55	99.81	110.50	115.65
0.530	52.38	62.65	74.80	87.54	99.81	110.47	115.67
0.533	52.35	62.65	74.80	87.53	99.81	110.47	115.68
0.536	52.29	62.65	74.80	87.50	99.81	110.47	115.69
0.538	52.26	62.65	74.80	87.46	99.80	110.47	115.70
0.541	52.23	62.67	74.80	87.43	99.79	110.47	115.71
0.544	52.21	62.68	74.80	87.43	99.78	110.47	115.72
0.547	52.18	62.69	74.80	87.46	99.78	110.47	115.73
0.549	52.15	62.71	74.80	87.50	99.78	110.47	115.74
0.552	52.12	62.72	74.80	87.50	99.82	110.47	115.75
0.555	52.06	62.74	74.80	87.50	99.76	110.47	115.76
0.558	52.03	62.74	74.80	87.49	99.75	110.47	115.77
0.560	52.01	62.75	74.80	87.49	99.74	110.47	115.77
0.563	51.98	62.77	74.80	87.48	99.74	110.47	115.77
0.566	51.95	62.78	74.85	87.48	99.73	110.47	115.77
0.568	51.90	62.77	74.80	87.47	99.73	110.47	115.77
0.571	51.82	62.68	74.80	87.47	99.72	110.47	115.77
0.574	51.76	62.65	74.80	87.46	99.72	110.47	115.77
0.577	51.71	62.65	74.81	87.45	99.71	110.47	115.77
0.579	51.66	62.65	74.83	87.47	99.70	110.47	115.77
