X	Percentil5	Percentil10	Percentil25	Percentil50	Percentil75	Percentil90	Percentil95
0.270	38.91	46.09	57.34	70.28	84.56	97.03	103.42
0.273	38.91	45.98	57.34	70.28	84.56	97.03	103.42
0.275	38.91	46.01	57.34	70.25	84.56	97.02	103.42
0.278	38.91	46.03	57.34	70.25	84.56	96.91	103.42
0.281	38.91	46.03	57.34	70.25	84.56	96.90	103.42
0.284	38.91	46.03	57.34	70.25	84.56	96.90	103.42
0.286	38.91	45.99	57.34	70.25	84.56	96.89	103.42
0.289	38.91	45.94	57.34	70.25	84.56	96.89	103.42
0.292	38.91	45.83	57.34	70.25	84.56	96.88	103.42
0.295	38.91	45.71	57.34	70.25	84.56	96.87	103.42
0.297	38.91	45.64	57.34	70.25	84.56	96.87	103.42
0.300	38.91	45.65	57.35	70.28	84.56	96.86	103.42
0.303	38.91	45.66	57.36	70.28	84.56	96.86	103.42
0.305	38.91	45.66	57.36	70.28	84.56	96.85	103.42
0.308	38.91	45.67	57.36	70.28	84.56	96.84	103.42
0.311	38.91	45.67	57.40	70.28	84.56	96.83	103.42
0.314	38.91	45.68	57.45	70.28	84.56	96.83	103.42
0.316	38.91	45.69	57.46	70.28	84.56	96.82	103.42
0.319	38.91	45.75	57.48	70.28	84.56	96.82	103.42
0.322	38.91	45.77	57.50	70.28	84.56	96.81	103.42
0.325	38.91	45.79	57.52	70.28	84.56	96.80	103.42
0.327	38.91	45.87	57.54	70.28	84.56	96.80	103.42
0.330	38.93	45.91	57.56	70.28	84.62	96.79	103.42
0.333	38.94	45.96	57.58	70.28	84.63	96.79	103.42
0.336	38.96	46.04	57.60	70.28	84.64	96.79	103.42
0.338	38.92	46.06	57.61	70.28	84.64	96.79	103.42
0.341	38.81	46.06	57.63	70.40	84.64	96.79	103.42
0.344	38.71	46.07	57.63	70.51	84.64	96.79	103.42
0.347	38.53	46.08	57.63	70.51	84.60	96.78	103.42
0.349	38.53	46.09	57.68	70.51	84.64	96.78	103.42
0.352	38.49	46.10	57.68	70.51	84.64	96.78	103.42
0.355	38.40	46.12	57.68	70.51	84.67	96.78	103.42
0.358	38.30	46.13	57.68	70.51	84.64	96.78	103.42
0.360	38.20	46.14	57.68	70.32	84.64	96.78	103.42
0.363	38.10	46.15	57.68	70.35	84.64	96.77	103.42
0.366	37.91	46.16	57.68	70.40	84.63	96.77	103.42
0.368	37.85	46.16	57.68	70.51	84.54	96.77	103.42
0.371	37.78	46.17	57.68	70.51	84.46	96.77	103.42
0.374	37.72	46.19	57.68	70.51	84.45	96.77	103.42
0.377	37.65	46.20	57.67	70.51	84.46	96.77	103.42
0.379	37.59	46.21	57.63	70.51	84.39	96.77	103.42
0.382	37.52	46.22	57.63	70.51	84.33	96.76	103.42
0.385	37.46	46.23	57.60	70.51	84.34	96.76	103.42
0.388	37.39	46.24	57.45	70.28	84.36	96.76	103.42
0.390	37.26	46.25	57.36	70.28	84.37	96.76	103.42
0.393	37.20	46.27	57.36	70.28	84.38	96.76	103.42
0.396	37.13	46.27	57.36	70.28	84.39	96.78	103.42
0.399	37.07	46.28	57.35	70.28	84.41	96.79	103.42
0.401	37.04	46.29	57.34	70.28	84.42	96.83	103.42
0.404	37.04	46.30	57.34	70.28	84.44	96.87	103.42
0.407	37.04	46.31	57.34	70.28	84.40	96.92	103.42
0.410	37.06	46.32	57.36	70.25	84.33	96.96	103.42
0.412	37.09	46.33	57.36	70.25	84.32	96.99	103.42
0.415	37.16	46.35	57.36	70.25	84.26	96.99	103.42
0.418	37.20	46.36	57.36	70.25	84.22	96.99	103.42
0.421	37.23	46.37	57.36	70.25	84.19	96.99	103.42
0.423	37.27	46.37	57.34	70.25	84.12	96.99	103.42
0.426	37.30	46.38	57.34	70.23	84.08	96.99	103.42
0.429	37.33	46.39	57.34	70.20	84.31	96.99	103.42
0.432	37.37	46.40	57.34	70.18	84.29	96.99	103.42
0.434	37.44	46.42	57.34	70.15	84.27	96.99	103.42
0.437	37.47	46.43	57.34	70.13	84.25	96.99	103.42
0.440	37.51	46.86	57.34	70.10	84.23	96.99	103.42
0.442	37.54	47.11	57.33	70.06	84.21	96.99	103.42
0.445	37.57	47.13	57.33	70.03	84.19	96.99	103.42
0.448	37.61	47.12	57.33	70.01	84.21	96.99	103.42
0.451	37.64	46.91	57.33	69.95	84.15	96.99	103.42
0.453	37.68	46.80	57.33	69.96	84.13	96.99	103.42
0.456	37.75	46.58	57.33	69.94	84.09	96.99	103.42
0.459	37.78	46.51	57.33	70.01	84.07	96.99	103.42
0.462	37.81	46.52	57.33	70.07	84.05	96.99	103.42
0.464	37.85	46.53	57.33	70.11	84.00	96.99	103.42
0.467	37.88	46.54	57.33	70.05	84.00	96.99	103.42
0.470	37.92	46.55	57.33	70.00	83.99	96.99	103.43
0.473	37.97	46.57	57.33	70.04	83.97	96.99	103.44
0.475	38.07	46.57	57.24	70.12	83.95	96.99	103.45
0.478	38.12	46.58	57.19	69.95	83.93	96.99	103.46
0.481	38.14	46.59	57.21	69.79	83.91	96.99	103.47
0.484	38.13	46.60	57.15	69.69	83.91	96.99	103.49
0.486	38.11	46.58	57.15	69.70	83.96	96.99	103.50
0.489	38.09	46.51	57.15	69.72	84.00	96.99	103.51
