X	Percentil5	Percentil10	Percentil25	Percentil50	Percentil75	Percentil90	Percentil95
2019.762	35.87	7.83	12.24	12.74	15.28	13.16	7.11
2019.764	35.91	7.16	12.91	12.72	15.26	13.16	7.11
2019.767	35.91	7.16	13.00	12.65	15.28	13.04	7.18
2019.770	35.68	7.38	13.15	12.52	15.26	13.04	7.18
2019.773	35.68	7.38	13.13	12.56	15.24	13.04	7.18
2019.775	35.68	7.38	13.11	12.60	15.22	13.04	7.18
2019.778	35.68	7.38	13.09	12.64	15.20	12.94	7.28
2019.781	35.68	7.38	13.06	12.70	15.19	12.93	7.29
2019.784	35.68	7.38	13.04	12.72	15.18	12.92	7.30
2019.786	35.68	7.38	13.03	12.72	15.19	12.92	7.30
2019.789	35.68	7.43	13.07	12.68	15.14	12.92	7.31
2019.792	35.68	7.38	13.19	12.58	15.16	12.91	7.31
2019.795	35.68	7.38	13.20	12.60	15.12	12.91	7.32
2019.797	35.68	7.38	13.20	12.57	15.15	12.91	7.31
2019.800	35.68	7.38	13.20	12.57	15.14	12.90	7.30
2019.803	35.68	7.38	13.20	12.57	15.14	12.90	7.29
2019.805	35.64	7.42	13.20	12.59	15.08	12.93	7.28
2019.808	35.62	7.45	13.20	12.60	15.06	12.94	7.28
2019.811	35.62	7.45	13.20	12.60	15.05	12.95	7.28
2019.814	35.62	7.45	13.20	12.60	15.05	12.95	7.28
2019.816	35.62	7.47	13.14	12.64	15.05	12.96	7.28
2019.819	35.62	7.51	13.00	12.72	15.06	12.96	7.28
2019.822	35.62	7.53	12.93	12.75	15.06	12.97	7.28
2019.825	35.62	7.57	12.96	12.64	15.10	12.97	7.28
2019.827	35.62	7.59	13.06	12.50	15.13	12.97	7.28
2019.830	35.62	7.63	13.02	12.53	15.04	13.03	7.28
2019.833	35.62	7.67	12.97	12.57	15.04	12.99	7.28
2019.836	35.62	7.69	12.95	12.58	15.03	12.99	7.28
2019.838	35.62	7.73	12.92	12.60	15.01	12.99	7.28
2019.841	35.62	7.72	12.93	12.63	14.99	12.98	7.28
2019.844	35.62	7.71	12.88	12.67	14.99	13.00	7.28
2019.847	35.62	7.70	12.85	12.70	15.00	13.01	7.28
2019.849	35.62	7.68	12.90	12.66	14.89	13.11	7.28
2019.852	35.62	7.67	12.96	12.61	14.87	13.13	7.28
2019.855	35.62	7.66	12.98	12.63	14.82	13.15	7.28
2019.858	35.62	7.65	13.00	12.65	14.76	13.19	7.28
2019.860	35.62	7.64	13.01	12.60	14.80	13.20	7.28
2019.863	35.62	7.63	13.03	12.59	14.80	13.20	7.28
2019.866	35.62	7.62	13.05	12.58	14.80	13.21	7.28
2019.868	35.54	7.67	13.08	12.57	14.79	13.22	7.28
2019.871	35.47	7.74	13.11	12.55	14.76	13.25	7.26
2019.874	35.46	7.73	13.13	12.55	14.72	13.27	7.26
2019.877	35.46	7.72	13.15	12.53	14.70	13.30	7.26
2019.879	35.45	7.72	13.17	12.49	14.73	13.30	7.26
2019.882	35.44	7.72	13.20	12.48	14.73	13.30	7.26
2019.885	35.44	7.71	13.27	12.42	14.73	13.30	7.26
2019.888	35.43	7.70	13.32	12.38	14.73	13.30	7.27
2019.890	35.43	7.70	13.34	12.38	14.71	13.31	7.27
2019.893	35.42	7.69	13.36	12.31	14.78	13.31	7.27
2019.896	35.42	7.68	13.36	12.29	14.81	13.31	7.27
2019.899	35.41	7.73	13.31	12.26	14.81	13.33	7.27
2019.901	35.41	7.77	13.25	12.26	14.81	13.36	7.27
2019.904	35.33	7.89	13.13	12.33	14.82	13.39	7.24
2019.907	35.25	7.98	13.12	12.33	14.85	13.42	7.19
2019.910	35.16	8.00	13.16	12.41	14.77	13.42	7.20
2019.912	35.13	7.98	13.21	12.48	14.71	13.41	7.21
2019.915	35.13	7.93	13.24	12.53	14.67	13.40	7.23
2019.918	35.13	7.94	13.24	12.52	14.68	13.38	7.24
2019.921	35.13	7.93	13.21	12.44	14.74	13.42	7.25
2019.923	35.14	7.92	13.21	12.38	14.86	13.36	7.26
2019.926	35.14	7.92	13.13	12.41	14.91	13.36	7.26
2019.929	35.14	7.92	12.96	12.56	14.92	13.36	7.26
2019.932	35.15	7.91	12.95	12.57	14.92	13.36	7.25
2019.934	35.16	7.90	12.94	12.59	14.92	13.36	7.25
2019.937	35.17	7.89	12.93	12.60	14.91	13.36	7.25
2019.940	35.19	7.88	12.91	12.59	14.94	13.36	7.25
2019.942	35.20	7.86	12.89	12.62	14.92	13.36	7.25
2019.945	35.21	7.85	12.87	12.65	14.91	13.36	7.25
2019.948	35.23	7.83	12.83	12.70	14.91	13.37	7.25
2019.951	35.25	7.81	12.81	12.71	14.91	13.37	7.24
2019.953	35.27	7.80	12.80	12.72	14.91	13.37	7.24
2019.956	35.28	7.78	12.79	12.73	14.91	13.36	7.24
2019.959	35.29	7.77	12.78	12.73	14.93	13.36	7.24
2019.962	35.30	7.76	12.77	12.69	14.98	13.36	7.24
2019.964	35.32	7.74	12.75	12.65	15.02	13.38	7.24
2019.967	35.33	7.73	12.72	12.62	15.06	13.40	7.23
2019.970	35.39	7.67	12.70	12.60	15.07	13.43	7.23
2019.973	35.51	7.55	12.67	12.63	15.06	13.44	7.23
2019.975	35.55	7.36	12.81	12.64	15.06	13.44	7.23
2019.978	35.56	7.41	12.76	12.63	15.06	13.44	7.23
2019.981	35.57	7.48	12.70	12.61	15.06	13.45	7.23
2019.984	35.58	7.48	12.68	12.62	15.05	13.45	7.22
2019.986	35.59	7.48	12.62	12.62	15.10	13.46	7.22
2019.989	35.59	7.47	12.66	12.57	15.07	13.50	7.22
2019.992	35.60	7.46	12.68	12.56	15.06	13.51	7.22
2019.995	35.61	7.46	12.76	12.47	15.05	13.52	7.22
2019.997	35.62	7.45	12.91	12.32	15.04	13.53	7.22
2020.000	35.63	7.44	12.87	12.34	15.06	13.54	7.22
2020.003	35.64	7.43	12.82	12.35	15.08	13.55	7.21
2020.005	35.64	7.42	12.78	12.31	15.15	13.56	7.21
2020.008	35.66	7.40	12.81	12.30	15.12	13.58	7.21
2020.011	35.67	7.34	12.89	12.27	15.08	13.61	7.21
2020.014	35.68	7.34	12.93	12.22	15.08	13.61	7.21
2020.016	35.68	7.34	12.96	12.19	15.08	13.61	7.21
2020.019	35.68	7.32	13.01	12.25	14.98	13.62	7.18
2020.022	35.68	7.03	13.33	12.27	14.93	13.62	7.15
2020.025	35.68	7.01	13.39	12.23	14.93	13.63	7.12
2020.027	35.68	6.96	13.46	12.20	14.92	13.64	7.08
2020.030	35.68	6.86	13.60	12.17	14.91	13.64	7.04
2020.033	35.58	6.97	13.60	12.16	15.03	13.53	7.03
2020.036	35.59	6.97	13.56	12.08	15.14	13.54	7.02
2020.038	35.59	6.96	13.55	12.07	15.18	13.55	7.01
2020.041	35.60	6.94	13.52	12.11	15.17	13.56	7.00
2020.044	35.60	6.95	13.57	12.05	15.16	13.58	6.99
2020.047	35.61	6.96	13.60	12.00	15.14	13.62	6.96
2020.049	35.61	6.98	13.62	11.96	15.11	13.66	6.96
2020.052	35.62	6.99	13.65	11.91	15.08	13.70	6.97
2020.055	35.63	7.00	13.68	11.86	15.05	13.74	6.99
2020.058	35.63	7.01	13.71	11.83	15.01	13.78	6.99
2020.060	35.64	7.01	13.73	11.79	14.90	13.91	6.95
2020.063	35.65	7.06	13.66	11.80	14.89	13.93	6.90
2020.066	35.66	7.06	13.63	11.81	14.92	13.92	6.88
2020.068	35.68	7.06	13.61	11.82	14.94	13.90	6.87
2020.071	35.69	7.06	13.59	11.86	15.01	13.82	6.86
2020.074	35.71	7.06	13.55	11.96	14.93	13.82	6.85
2020.077	35.69	7.09	13.53	12.02	14.88	13.84	6.84
2020.079	35.68	7.11	13.53	12.01	14.90	13.82	6.83
2020.082	35.68	7.12	13.54	11.99	14.89	13.83	6.83
2020.085	35.68	7.14	13.53	11.97	14.86	13.86	6.83
2020.088	35.68	7.15	13.54	11.95	14.86	13.86	6.83
2020.090	35.68	7.17	13.53	11.95	14.91	13.80	6.83
2020.093	35.68	7.18	13.52	11.95	14.93	13.78	6.84
2020.096	35.68	7.20	13.50	11.95	15.02	13.69	6.85
2020.099	35.68	7.21	13.48	11.96	15.02	13.70	6.86
2020.101	35.68	7.22	13.42	11.96	15.11	13.66	6.87
2020.104	35.68	7.23	13.31	12.00	15.20	13.62	6.88
2020.107	35.68	7.26	13.24	12.07	15.11	13.69	6.89
2020.110	35.68	7.27	13.19	12.12	15.03	13.75	6.90
2020.112	35.68	7.28	13.17	12.12	15.03	13.76	6.90
2020.115	35.68	7.29	13.14	12.15	15.01	13.77	6.91
2020.118	35.68	7.32	13.14	12.17	14.95	13.79	6.92
2020.121	35.70	7.31	13.28	11.99	14.97	13.79	6.93
2020.123	35.72	7.30	13.34	11.92	14.92	13.84	6.94
2020.126	35.75	7.28	13.24	12.02	14.85	13.91	6.94
2020.129	35.78	7.28	13.06	12.18	14.78	13.97	6.95
2020.132	35.80	7.26	12.74	12.51	14.73	14.01	6.96
2020.134	35.83	7.25	12.68	12.57	14.70	14.02	6.96
2020.137	35.84	7.25	12.66	12.57	14.69	14.03	6.96
2020.140	35.84	7.27	12.72	12.52	14.67	14.03	6.96
2020.142	35.85	7.27	12.77	12.45	14.67	14.03	6.96
2020.145	35.85	7.28	12.75	12.46	14.67	14.03	6.95
2020.148	35.86	7.29	12.71	12.50	14.67	14.02	6.95
2020.151	35.78	7.38	12.69	12.49	14.68	14.15	6.82
2020.153	35.68	7.50	12.67	12.50	14.68	14.25	6.72
2020.156	35.68	7.51	12.67	12.49	14.66	14.29	6.68
2020.159	35.68	7.52	12.68	12.48	14.61	14.34	6.68
2020.162	35.68	7.54	12.67	12.48	14.51	14.42	6.68
2020.164	35.68	7.56	12.69	12.47	14.49	14.43	6.68
2020.167	35.65	7.60	12.64	12.51	14.47	14.43	6.67
2020.170	35.62	7.65	12.53	12.64	14.44	14.43	6.67
2020.173	35.61	7.68	12.45	12.74	14.38	14.45	6.67
2020.175	35.62	7.69	12.44	12.79	14.30	14.46	6.69
2020.178	35.62	7.69	12.43	12.78	14.35	14.40	6.70
2020.181	35.63	7.70	12.42	12.77	14.36	14.42	6.68
2020.184	35.64	7.69	12.43	12.76	14.36	14.43	6.67
2020.186	35.65	7.70	12.41	12.75	14.36	14.43	6.66
2020.189	35.66	7.70	12.36	12.81	14.35	14.43	6.66
2020.192	35.67	7.71	12.35	12.79	14.34	14.46	6.66
2020.195	35.68	7.39	12.67	12.77	14.32	14.49	6.66
2020.197	35.68	7.38	12.71	12.73	14.30	14.51	6.66
2020.200	35.68	7.38	12.72	12.71	14.30	14.52	6.66
2020.203	35.68	7.38	12.73	12.71	14.29	14.52	6.66
2020.205	35.68	7.38	12.73	12.72	14.27	14.52	6.65
2020.208	35.68	7.38	12.74	12.72	14.27	14.52	6.65
2020.211	35.68	7.38	12.72	12.74	14.31	14.47	6.65
2020.214	35.68	7.38	12.70	12.76	14.34	14.43	6.65
2020.216	35.68	7.38	12.68	12.73	14.40	14.43	6.65
2020.219	35.68	7.38	12.68	12.72	14.41	14.43	6.65
2020.222	35.60	7.47	12.69	12.71	14.41	14.43	6.65
2020.225	35.61	7.46	12.70	12.69	14.42	14.43	6.65
2020.227	35.62	7.44	12.73	12.66	14.42	14.43	6.65
2020.230	35.64	7.42	12.73	12.66	14.43	14.43	6.65
2020.233	35.65	7.41	12.75	12.64	14.43	14.43	6.65
2020.236	35.67	7.39	12.76	12.63	14.43	14.43	6.65
2020.238	35.68	7.38	12.77	12.57	14.47	14.43	6.65
2020.241	35.68	7.38	12.80	12.51	14.51	14.43	6.65
2020.244	35.68	7.38	12.81	12.50	14.52	14.41	6.65
2020.247	35.68	7.38	12.81	12.50	14.55	14.39	6.65
2020.249	35.68	7.38	12.82	12.49	14.59	14.34	6.65
2020.252	35.68	7.38	12.83	12.48	14.69	14.25	6.65
2020.255	35.68	7.38	12.82	12.48	14.70	14.19	6.70
2020.258	35.68	7.34	12.85	12.48	14.72	14.03	6.86
2020.260	35.68	7.32	12.86	12.49	14.72	13.97	6.92
2020.263	35.68	7.31	12.88	12.49	14.72	13.96	6.92
2020.266	35.68	7.29	12.89	12.45	14.76	13.90	6.99
2020.268	35.68	7.25	12.93	12.39	14.80	13.91	7.01
2020.271	35.68	7.23	12.95	12.36	14.85	13.91	7.04
2020.274	35.68	7.21	12.96	12.35	14.87	13.90	7.05
2020.277	35.68	7.19	12.98	12.32	14.92	13.89	7.08
