  'm-h': `X	Percentil5	Percentil10	Percentil25	Percentil50	Percentil75	Percentil90	Percentil95
0.252054795	55.75	8.40	12.13	13.89	11.53	9.48	5.19
0.254794521	55.75	8.40	12.29	13.73	11.53	9.48	5.19
0.257534247	55.68	8.48	12.29	13.74	11.52	9.48	5.19
0.260273973	55.90	8.26	12.29	13.59	11.63	9.52	5.19
0.263013699	55.89	8.38	12.37	13.17	11.85	9.52	5.05
0.265753425	55.89	8.38	12.13	13.47	11.79	9.52	5.05
0.268493151	55.89	8.43	12.08	13.49	11.77	9.43	5.15
0.271232877	55.89	8.43	12.08	13.49	11.69	9.51	5.12
0.273972603	55.89	8.44	12.04	13.54	11.77	9.42	5.18
0.276712329	55.89	8.44	12.04	13.56	11.75	9.42	5.18
0.279452055	55.89	8.44	11.83	14.05	11.47	9.42	5.18
0.282191781	55.88	8.40	11.87	14.05	11.47	9.45	5.15
0.284931507	55.89	8.39	11.87	14.05	11.47	9.45	5.15
0.287671233	55.89	8.39	11.87	14.21	11.27	9.49	5.15
0.290410959	55.89	8.60	11.66	14.21	11.27	9.49	5.13
0.293150685	56.22	8.26	11.66	14.05	11.43	9.50	5.12
0.295890411	56.22	8.26	11.47	14.24	11.39	9.54	4.96
0.298630137	56.22	8.26	11.47	14.27	11.35	9.54	4.96
0.301369863	56.22	8.26	11.47	14.30	11.32	9.54	4.96
0.304109589	56.22	8.26	11.47	14.23	11.40	9.55	4.95
0.306849315	56.22	8.19	11.54	14.23	11.40	9.55	4.95
0.309589041	56.22	8.29	11.45	14.26	11.37	9.55	4.95
0.312328767	56.22	8.29	11.42	14.28	11.37	9.55	4.95
0.315068493	56.22	8.29	11.25	14.46	11.37	9.56	4.94
0.317808219	56.22	8.51	11.03	14.46	11.37	9.51	4.99
0.320547945	56.22	8.51	10.81	14.68	11.41	9.47	4.99
0.323287671	56.22	8.51	10.81	14.68	11.41	9.47	5.00
0.326027397	56.22	8.38	10.93	14.68	11.41	9.47	5.00
0.328767123	56.57	8.03	10.93	14.75	11.34	9.47	5.00
0.331506849	56.57	7.86	11.10	14.75	11.34	9.47	5.00
0.334246575	56.57	7.68	11.25	14.84	11.27	9.47	5.00
0.336986301	56.57	7.50	11.44	14.79	11.32	9.47	5.00
0.339726027	56.57	7.50	11.44	14.79	11.32	9.47	5.25
0.342465753	56.57	7.50	11.35	14.80	11.40	9.47	5.25
0.345205479	56.57	7.44	11.41	14.80	11.40	9.47	5.25
0.347945205	56.57	7.44	11.41	14.79	11.43	9.51	5.19
0.350684932	56.57	7.45	11.40	14.78	11.44	9.51	5.19
0.353424658	56.57	7.45	11.40	14.78	11.55	9.40	5.19
0.356164384	56.57	7.45	11.40	14.71	11.62	9.48	5.11
0.358904110	56.57	7.45	11.33	14.78	11.62	9.48	5.11
0.361643836	56.76	7.26	11.29	14.75	11.69	9.48	5.11
0.364383562	56.76	7.26	11.29	14.77	11.67	9.48	5.11
0.367123288	56.76	7.26	11.29	14.77	11.67	9.48	5.11
